Monastery Name,Location,GPS Coordinates,Year Established,Founder/Lineage,Historical Background,Architectural Features,Festivals,Current Status,Image URL,Reference
Old Rumtek Monastery,"Rumtek, East Sikkim","27°19'33""N, 88°36'4""E",1734,12th Karmapa Changchub Dorje,"Original seat of Karma Kagyu lineage in Sikkim, later rebuilt as Dharma Chakra Centre by 16th Karmapa","Traditional Tibetan style, stone and timber construction, flat roof","Losar, Buddhist calendar festivals",Active heritage monastery,wikimedia.org/commons/,sikkimeccl.gov.in
Rumtek Dharma Chakra Centre,"Rumtek, East Sikkim","27°19'33""N, 88°36'4""E",1962,16th Gyalwa Karmapa Rangjung Rigpe Dorje,"Main seat-in-exile of Karmapa lineage, houses relics of 16th Karmapa in golden stupa","4-story structure, traditional Tibetan design with modern reinforcement, golden stupa","Losar, Drupchen, Kagyu festivals","Active, largest monastery in Sikkim",wikimedia.org/commons/,sikkimeccl.gov.in
Enchey Monastery,"Gangtok, East Sikkim","27°20'9""N, 88°37'9""E",1840,"Lama Drupthob Karpo, Nyingma order","Built where Lama Drupthob Karpo flew from Maenam Hill, blessed by Guru Padmasambhava","Chinese pagoda style, rebuilt in 1909, pine tree surroundings","Losar, Nyingma festivals, Cham dance",Active,wikimedia.org/commons/,sikkimeccl.gov.in
Kathog Dorjeden Monastery,"Pakyong, East Sikkim","27°17'N, 88°35'E",1840,"Saint Kathok Kuntu Zangpo, Nyingma order",Founded by one of three pioneer lamas in first Chogyal's coronation,"Traditional Tibetan architecture, hilltop location","Nyingma festivals, annual pujas",Active,wikimedia.org/commons/,sikkimeccl.gov.in
Linkoed Monastery,East Sikkim,"27°20'N, 88°40'E",1840,Nyingma tradition,Established during period of Buddhist expansion in Sikkim,Traditional monastery design,Buddhist festivals,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Rinak Monastery,East Sikkim,"27°18'N, 88°42'E",1841,"Saint Konchog Gyaltshen, Bhara Kagyu lineage","Re-established in 1841 from earlier small shrine, follows Drukpa Kagyu tradition",Traditional Kagyu monastery architecture,"Kagyu festivals, annual celebrations",Active,wikimedia.org/commons/,sikkimeccl.gov.in
Simig Monastery,East Sikkim,"27°19'N, 88°38'E",1843,Local Buddhist community,Built during 19th century Buddhist expansion,Traditional Sikkimese monastery style,Local Buddhist festivals,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Pathing Matsang Monastery,East Sikkim,"27°16'N, 88°39'E",1860,Local lineage holders,Mid-19th century monastery establishment,Traditional design with local adaptations,Annual Buddhist celebrations,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Lingdok Tsangkhar Monastery,East Sikkim,"27°21'N, 88°37'E",1862,Tsangkhar lineage,19th century monastery with royal connections,Traditional Tibetan monastery design,Lineage-specific festivals,Active,wikimedia.org/commons/,sikkimeccl.gov.in
Ray Mindu Katenling Monastery,East Sikkim,"27°17'N, 88°41'E",1873,Katenling lineage,Late 19th century foundation,Traditional monastery architecture,Buddhist calendar festivals,Active,wikimedia.org/commons/,sikkimeccl.gov.in
